id,county,state,concat1,Cumul Confirmed Cases,county1,state1,concat1,Cumul Confirmed Cases1 ,Estimate!!HOUSEHOLDS BY TYPE!!Total households,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families),Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family",Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Estimate!!COMPUTERS AND INTERNET USE!!Total households!!With a computer,Estimate!!COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription
0500000US06001,Alameda,California,AlamedaCalifornia,6876,Alameda,California,AlamedaCalifornia,6876,572870,383468,175375,288502,134501,29154,65812,189402,138073,51164,194897,151201,1156404,72042,67192,203838,207018,305740,225961,535962,501197
0500000US06003,Alpine,California,AlpineCalifornia,1,Alpine,California,AlpineCalifornia,1,299,177,42,145,28,5,27,122,106,66,56,162,784,25,62,225,205,149,86,272,254
0500000US06005,Amador,California,AmadorCalifornia,31,Amador,California,AmadorCalifornia,31,14090,9446,2929,7741,2113,690,1015,4644,4015,2223,3413,6533,29520,727,2137,8461,8751,3910,2087,12577,11467
0500000US06007,Butte,California,ButteCalifornia,224,Butte,California,ButteCalifornia,224,86797,51436,20145,37186,13300,4378,9872,35361,25099,10857,23182,28466,147890,5732,10091,33611,44001,25926,13334,78815,72243
0500000US06009,Calaveras,California,CalaverasCalifornia,53,Calaveras,California,CalaverasCalifornia,53,17417,11776,2926,9070,1795,967,1739,5641,4591,2773,3647,8103,34602,1152,2180,9557,11000,4386,2088,15073,13567
0500000US06011,Colusa,California,ColusaCalifornia,76,Colusa,California,ColusaCalifornia,76,7113,5466,2837,4062,1895,609,795,1647,1446,836,2977,2089,13634,2681,1493,3225,2814,1571,532,5976,5499
0500000US06013,Contra Costa,California,Contra CostaCalifornia,3662,Contra Costa,California,Contra CostaCalifornia,3662,392277,282085,127996,215025,96123,19164,47896,110192,86275,37573,141689,117501,777519,44759,37815,136610,169705,203101,121236,370116,353692
0500000US06015,Del Norte,California,Del NorteCalifornia,58,Del Norte,California,Del NorteCalifornia,58,9799,6039,2390,4305,1531,360,1374,3760,3152,1260,2914,3337,19437,865,2819,6131,5229,1619,1163,8571,7523
0500000US06017,El Dorado,California,El DoradoCalifornia,226,El Dorado,California,El DoradoCalifornia,226,69172,48535,17503,40604,13674,2498,5433,20637,16244,7760,19444,24482,134716,3134,6165,28621,36552,29222,16175,64430,59285
0500000US06019,Fresno,California,FresnoCalifornia,6110,Fresno,California,FresnoCalifornia,6110,304624,221080,110079,142835,66136,23968,54277,83544,66292,28032,125525,80855,596505,84595,62794,136851,138098,82089,41318,267065,237426
0500000US06021,Glenn,California,GlennCalifornia,128,Glenn,California,GlennCalifornia,128,10017,7390,3324,5596,2401,572,1222,2627,2198,947,3626,3134,17924,2467,1959,5058,4416,1947,537,8341,6988
0500000US06023,Humboldt,California,HumboldtCalifornia,144,Humboldt,California,HumboldtCalifornia,144,54267,30101,12260,20626,7172,3441,6034,24166,17918,6785,13695,16370,91946,2593,6285,21615,25314,18017,9363,48738,44023
0500000US06025,Imperial,California,ImperialCalifornia,7039,Imperial,California,ImperialCalifornia,7039,44057,33880,15296,22135,9886,3095,8650,10177,8817,3926,18654,14120,109338,18440,15488,26758,25980,10794,5008,37309,32551
0500000US06027,Inyo,California,InyoCalifornia,32,Inyo,California,InyoCalifornia,32,8083,4300,1432,3211,905,283,806,3783,3241,1271,1600,2976,13244,562,916,3883,3384,2127,1325,7256,6293
0500000US06029,Kern,California,KernCalifornia,5255,Kern,California,KernCalifornia,5255,267913,200379,103738,136858,68134,20101,43420,67534,53702,21551,118202,65387,532100,72415,67169,147239,121060,57030,28722,228712,205715
0500000US06031,Kings,California,KingsCalifornia,2673,Kings,California,KingsCalifornia,2673,42735,32786,17817,22057,11420,3224,7505,9949,7469,2976,20028,10156,92321,11849,12421,23540,23995,8784,3654,37560,32974
0500000US06033,Lake,California,LakeCalifornia,89,Lake,California,LakeCalifornia,89,25966,15359,5831,10699,3404,1297,3363,10607,8394,4581,6757,10405,46394,2620,4252,13951,12892,4759,2565,21733,18861
0500000US06035,Lassen,California,LassenCalifornia,242,Lassen,California,LassenCalifornia,242,9493,6141,2135,4899,1457,360,882,3352,2767,1187,2417,3089,22390,854,2999,7444,6216,1787,910,7990,7227
0500000US06037,Los Angeles,California,Los AngelesCalifornia,244,Los Angeles,California,Los AngelesCalifornia,114993,3306109,2207265,952402,1485293,642979,225399,496573,1098844,846956,285112,1109456,903759,6845489,862926,597792,1416482,1314543,1416842,760639,2989974,2714350
0500000US06039,Madera,California,MaderaCalifornia,244,Madera,California,MaderaCalifornia,578,44759,34804,16126,25890,11086,2659,6255,9955,8209,4022,18911,13934,97015,16376,10902,24249,23760,9696,4388,39082,34355
0500000US06041,Marin,California,MarinCalifornia,3716,Marin,California,MarinCalifornia,2656,105258,65685,29036,53772,22508,3769,8144,39573,32192,16537,30323,39135,190541,7366,5517,20858,32405,63261,48757,99111,95274
0500000US06043,Mariposa,California,MariposaCalifornia,927,Mariposa,California,MariposaCalifornia,28,7700,5019,1516,4040,1098,315,664,2681,2340,1170,1922,3264,13659,435,881,3622,4182,1997,1200,6710,5861
0500000US06045,Mendocino,California,MendocinoCalifornia,248,Mendocino,California,MendocinoCalifornia,85,34090,20783,8457,14932,5169,1897,3954,13307,10634,5151,9576,12810,61799,3725,4376,15925,17621,10087,5154,29268,26465
0500000US06047,Merced,California,MercedCalifornia,248,Merced,California,MercedCalifornia,1272,79606,60642,31699,40756,20162,6414,13472,18964,14964,6677,36189,20788,158034,29236,19197,40839,35467,14395,7656,70974,63434
0500000US06049,Modoc,California,ModocCalifornia,15,Mono,California,MonoCalifornia,44,3660,2173,733,1750,529,111,312,1487,1285,631,830,1565,6773,476,498,2185,1765,706,372,2779,2539
0500000US06051,Mono,California,MonoCalifornia,15,Monterey,California,MontereyCalifornia,2064,4847,2524,890,2123,637,155,246,2323,1734,421,898,1358,10042,651,480,2290,2818,2336,740,4428,4036
0500000US06053,Monterey,California,MontereyCalifornia,15,Napa,California,NapaCalifornia,427,126052,91714,42921,66002,29902,8562,17150,34338,27031,12437,49770,38214,274528,53527,25289,56133,50049,40485,26672,110447,101887
0500000US06055,Napa,California,NapaCalifornia,158,Nevada,California,NevadaCalifornia,129,49032,33730,14104,26184,10665,2493,5053,15302,12321,6584,15866,17301,98220,9562,5108,17644,22545,22549,11728,45419,42930
0500000US06057,Nevada,California,NevadaCalifornia,20,Orange,California,OrangeCalifornia,19247,40904,26483,8476,21706,5970,1416,3361,14421,11566,5630,9289,16888,75777,1491,2895,13945,21746,17914,9840,37429,34503
0500000US06059,Orange,California,OrangeCalifornia,153,Placer,California,PlacerCalifornia,877,1032373,741721,324922,564685,248807,55283,121753,290652,217407,93044,362611,301076,2151512,176790,143550,368858,436936,553419,304219,974586,921485
0500000US06061,Placer,California,PlacerCalifornia,137,Plumas,California,PlumasCalifornia,11,140661,98332,41552,80935,32810,5408,11989,42329,34612,17315,44991,48167,265483,5604,8799,48289,70551,68639,33706,132400,124285
0500000US06063,Plumas,California,PlumasCalifornia,137,Riverside,California,RiversideCalifornia,21508,8047,4859,1461,3793,1018,376,690,3188,2637,1249,1685,3399,14430,214,660,3638,4717,1922,1468,6778,6104
