id,county,state,concat,Estimate!!Total!!Total population,Estimate!!Male!!Total population,Estimate!!Female!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over
0500000US06045,Mendocino,California,MendocinoCalifornia,87606,43017,44589,5089,5734,4842,5193,5363,3593,5010,4358,5863,5178,5271,6144,6896,6576,5744,2860,2417,1475
0500000US06059,Orange,California,OrangeCalifornia,3185968,1573189,1612779,187424,176525,211447,205379,210595,243175,216675,214199,199120,224484,221335,216108,188276,142280,124254,80776,58499,65417
0500000US06067,Sacramento,California,SacramentoCalifornia,1540975,752842,788133,98854,97945,106610,95824,96515,123506,117870,112834,93049,97367,94527,95497,93133,70410,57822,36056,25650,27506
0500000US06115,Yuba,California,YubaCalifornia,78041,39819,38222,5920,5294,6460,5556,5223,6297,5966,4676,4812,4431,4024,4392,5607,3503,2293,1501,1057,1029
0500000US06023,Humboldt,California,HumboldtCalifornia,136373,68722,67651,7335,8500,6410,8744,12757,9640,8044,9700,8773,7381,6777,7025,10991,8168,7059,3664,2588,2817
0500000US06039,Madera,California,MaderaCalifornia,157672,76573,81099,11785,11935,12680,11502,10369,10995,10756,10604,9632,8976,9116,9168,8055,6223,7290,2937,2981,2668
0500000US06111,Ventura,California,VenturaCalifornia,850967,420907,430060,49716,54227,56590,56607,57191,59379,54677,54561,51937,55577,55791,61658,50837,44719,31341,21965,15666,18528
0500000US06083,Santa Barbara,California,Santa BarbaraCalifornia,446527,223408,223119,27464,26578,29451,38291,47576,32544,27032,25931,24695,24075,24036,25552,24900,20804,16779,12760,8421,9638
0500000US06031,Kings,California,KingsCalifornia,151366,83591,67775,10990,11819,11672,10792,11790,13180,12139,11170,10402,9095,8503,8863,5538,4485,4266,2466,2784,1412
0500000US06089,Shasta,California,ShastaCalifornia,180040,88679,91361,9933,11842,10347,10511,10406,11176,11226,11043,9163,9603,11067,12905,13791,11028,10453,6499,5095,3952
0500000US06013,Contra Costa,California,Contra CostaCalifornia,1150215,562983,587232,64482,67894,80292,74110,66366,73362,73830,75042,80004,80715,81104,79112,72635,58417,47941,32092,22622,20195
0500000US06079,San Luis Obispo,California,San Luis ObispoCalifornia,284010,143754,140256,13213,12615,15090,22297,30716,16508,16483,16559,13930,14743,15525,18654,20083,18999,16424,9250,6418,6503
0500000US06087,Santa Cruz,California,Santa CruzCalifornia,274255,134866,139389,13667,14699,14555,23856,26705,17854,15843,16152,15678,16533,16836,18002,18526,17833,11620,7120,4941,3835
0500000US06037,Los Angeles,California,Los AngelesCalifornia,10105518,4982529,5122989,602507,575136,640817,628872,701010,856123,783915,721419,659703,686881,661688,637656,573832,450513,334698,232662,165338,192748
0500000US06061,Placer,California,PlacerCalifornia,393149,193296,199853,20248,25087,25347,25290,20967,21021,21292,24992,25985,26336,26540,26922,26373,23883,19433,14102,10208,9123
0500000US06033,Lake,California,LakeCalifornia,64382,31318,33064,3924,3857,3434,3002,3023,3664,3850,4136,3640,3050,3807,4816,5323,6435,3345,2856,1059,1161
0500000US06075,San Francisco,California,San FranciscoCalifornia,883305,450985,432320,39618,29690,32128,32825,46479,102939,104840,78591,61068,59889,55335,48637,53138,43741,32881,21482,17182,22842
0500000US06071,San Bernardino,California,San BernardinoCalifornia,2171603,1081214,1090389,154707,156947,163507,157861,164029,175532,156204,146226,135151,134127,130615,130702,114827,88335,65019,44272,27789,25753
0500000US06065,Riverside,California,RiversideCalifornia,2450758,1221553,1229205,158411,168165,182168,176758,168706,177544,164581,160006,154724,154061,151399,151371,129839,112616,88063,67972,41484,42890
0500000US06085,Santa Clara,California,Santa ClaraCalifornia,1937570,982419,955151,114873,110532,127757,114555,120084,157756,155968,144933,134955,137371,129082,120114,108338,83113,62533,45446,32643,37517
0500000US06099,Stanislaus,California,StanislausCalifornia,549815,272319,277496,38528,40377,44908,39410,37796,40177,37983,37199,34605,32516,31994,33245,28570,26191,16946,13055,7758,8557
