id,county,state,concatenate,Estimate!!Total
0500000US06085,Santa Clara,California,Santa ClaraCalifornia,1937570
0500000US06099,Stanislaus,California,StanislausCalifornia,549815
0500000US06045,Mendocino,California,MendocinoCalifornia,87606
0500000US06059,Orange,California,OrangeCalifornia,3185968
0500000US06065,Riverside,California,RiversideCalifornia,2450758
0500000US06067,Sacramento,California,SacramentoCalifornia,1540975
0500000US06083,Santa Barbara,California,Santa BarbaraCalifornia,446527
0500000US06031,Kings,California,KingsCalifornia,151366
0500000US06079,San Luis Obispo,California,San Luis ObispoCalifornia,284010
0500000US06039,Madera,California,MaderaCalifornia,157672
0500000US06111,Ventura,California,VenturaCalifornia,850967
0500000US06107,Tulare,California,TulareCalifornia,465861
0500000US06019,Fresno,California,FresnoCalifornia,994400
0500000US06087,Santa Cruz,California,Santa CruzCalifornia,274255
0500000US06037,Los Angeles,California,Los AngelesCalifornia,10105518
0500000US06061,Placer,California,PlacerCalifornia,393149
0500000US06033,Lake,California,LakeCalifornia,64382
0500000US06075,San Francisco,California,San FranciscoCalifornia,883305
0500000US06071,San Bernardino,California,San BernardinoCalifornia,2171603
0500000US06115,Yuba,California,YubaCalifornia,78041
0500000US06023,Humboldt,California,HumboldtCalifornia,136373
0500000US06001,Alameda,California,AlamedaCalifornia,1666753
0500000US06097,Sonoma,California,SonomaCalifornia,499942
0500000US06113,Yolo,California,YoloCalifornia,220408
0500000US06057,Nevada,California,NevadaCalifornia,99696
0500000US06007,Butte,California,ButteCalifornia,231256
0500000US06017,El Dorado,California,El DoradoCalifornia,190678
0500000US06025,Imperial,California,ImperialCalifornia,181827
0500000US06029,Kern,California,KernCalifornia,896764
0500000US06041,Marin,California,MarinCalifornia,259666
0500000US06101,Sutter,California,SutterCalifornia,96807
0500000US06073,San Diego,California,San DiegoCalifornia,3343364
0500000US06047,Merced,California,MercedCalifornia,274765
0500000US06089,Shasta,California,ShastaCalifornia,180040
0500000US06013,Contra Costa,California,Contra CostaCalifornia,1150215
0500000US06095,Solano,California,SolanoCalifornia,446610
0500000US06077,San Joaquin,California,San JoaquinCalifornia,752660
0500000US06053,Monterey,California,MontereyCalifornia,435594
0500000US06055,Napa,California,NapaCalifornia,139417
0500000US06081,San Mateo,California,San MateoCalifornia,769545
0500000US09009,New Haven,Connecticut,New HavenConnecticut,857620
0500000US09007,Middlesex,Connecticut,MiddlesexConnecticut,162682
0500000US09001,Fairfield,Connecticut,FairfieldConnecticut,943823
0500000US09013,Tolland,Connecticut,TollandConnecticut,150921
0500000US09011,New London,Connecticut,New LondonConnecticut,266784
0500000US09005,Litchfield,Connecticut,LitchfieldConnecticut,181111
0500000US09015,Windham,Connecticut,WindhamConnecticut,117027
0500000US09003,Hartford,Connecticut,HartfordConnecticut,892697
0500000US12099,Palm Beach,Florida,Palm BeachFlorida,1485941
0500000US12053,Hernando,Florida,HernandoFlorida,190865
0500000US12115,Sarasota,Florida,SarasotaFlorida,426718
0500000US12119,Sumter,Florida,SumterFlorida,128754
0500000US12017,Citrus,Florida,CitrusFlorida,147929
0500000US12107,Putnam,Florida,PutnamFlorida,74163
0500000US12101,Pasco,Florida,PascoFlorida,539630
0500000US12033,Escambia,Florida,EscambiaFlorida,315534
0500000US12113,Santa Rosa,Florida,Santa RosaFlorida,179349
0500000US12073,Leon,Florida,LeonFlorida,292502
0500000US12103,Pinellas,Florida,PinellasFlorida,975280
0500000US12083,Marion,Florida,MarionFlorida,359977
0500000US12035,Flagler,Florida,FlaglerFlorida,112067
0500000US12061,Indian River,Florida,Indian RiverFlorida,157413
0500000US12097,Osceola,Florida,OsceolaFlorida,367990
0500000US12023,Columbia,Florida,ColumbiaFlorida,70503
0500000US12089,Nassau,Florida,NassauFlorida,85832
0500000US12019,Clay,Florida,ClayFlorida,216072
0500000US12015,Charlotte,Florida,CharlotteFlorida,184998
0500000US12057,Hillsborough,Florida,HillsboroughFlorida,1436888
0500000US12085,Martin,Florida,MartinFlorida,160912
0500000US12005,Bay,Florida,BayFlorida,185287
0500000US12011,Broward,Florida,BrowardFlorida,1951260
0500000US12055,Highlands,Florida,HighlandsFlorida,105424
0500000US12131,Walton,Florida,WaltonFlorida,71375
0500000US12009,Brevard,Florida,BrevardFlorida,596849
0500000US12081,Manatee,Florida,ManateeFlorida,394855
0500000US12087,Monroe,Florida,MonroeFlorida,75027
0500000US12021,Collier,Florida,CollierFlorida,378488
