id,county,state,concatenate,Estimate!!Total FPL !!Population for whom poverty status is determined,Estimate!!Total!!FPL !!SEX!!Male,Estimate!!Total!!FPL!SEX!!Female
0500000US06045,Mendocino,California,MendocinoCalifornia,85879,42086,43793
0500000US06059,Orange,California,OrangeCalifornia,3148187,1553402,1594785
0500000US06067,Sacramento,California,SacramentoCalifornia,1522720,740800,781920
0500000US06115,Yuba,California,YubaCalifornia,76394,38813,37581
0500000US06023,Humboldt,California,HumboldtCalifornia,132985,66509,66476
0500000US06039,Madera,California,MaderaCalifornia,149208,73523,75685
0500000US06111,Ventura,California,VenturaCalifornia,838307,413432,424875
0500000US06083,Santa Barbara,California,Santa BarbaraCalifornia,426201,211760,214441
0500000US06031,Kings,California,KingsCalifornia,137060,69660,67400
0500000US06089,Shasta,California,ShastaCalifornia,176694,87181,89513
0500000US06013,Contra Costa,California,Contra CostaCalifornia,1141015,558564,582451
0500000US06079,San Luis Obispo,California,San Luis ObispoCalifornia,267624,133234,134390
0500000US06087,Santa Cruz,California,Santa CruzCalifornia,261414,128692,132722
0500000US06037,Los Angeles,California,Los AngelesCalifornia,9953165,4900911,5052254
0500000US06061,Placer,California,PlacerCalifornia,389406,191549,197857
0500000US06033,Lake,California,LakeCalifornia,62940,30533,32407
0500000US06075,San Francisco,California,San FranciscoCalifornia,869727,444815,424912
0500000US06071,San Bernardino,California,San BernardinoCalifornia,2121692,1044629,1077063
0500000US06065,Riverside,California,RiversideCalifornia,2411413,1197914,1213499
0500000US06085,Santa Clara,California,Santa ClaraCalifornia,1907047,965667,941380
0500000US06099,Stanislaus,California,StanislausCalifornia,546057,270492,275565
0500000US06101,Sutter,California,SutterCalifornia,95346,46997,48349
0500000US06095,Solano,California,SolanoCalifornia,435952,213847,222105
0500000US06073,San Diego,California,San DiegoCalifornia,3259203,1620844,1638359
0500000US06077,San Joaquin,California,San JoaquinCalifornia,735733,363249,372484
0500000US06053,Monterey,California,MontereyCalifornia,418664,207084,211580
0500000US06055,Napa,California,NapaCalifornia,136739,68307,68432
0500000US06047,Merced,California,MercedCalifornia,268968,134816,134152
0500000US06081,San Mateo,California,San MateoCalifornia,764657,378729,385928
0500000US06001,Alameda,California,AlamedaCalifornia,1642667,808883,833784
0500000US06097,Sonoma,California,SonomaCalifornia,493293,240725,252568
0500000US06113,Yolo,California,YoloCalifornia,212296,103219,109077
0500000US06107,Tulare,California,TulareCalifornia,460709,230879,229830
0500000US06057,Nevada,California,NevadaCalifornia,98694,48240,50454
0500000US06019,Fresno,California,FresnoCalifornia,975927,484535,491392
0500000US06007,Butte,California,ButteCalifornia,226193,111357,114836
0500000US06017,El Dorado,California,El DoradoCalifornia,189589,93840,95749
0500000US06025,Imperial,California,ImperialCalifornia,171991,84006,87985
0500000US06029,Kern,California,KernCalifornia,866580,432875,433705
0500000US06041,Marin,California,MarinCalifornia,253650,122838,130812
0500000US09011,New London,Connecticut,New LondonConnecticut,255099,126528,128571
0500000US09005,Litchfield,Connecticut,LitchfieldConnecticut,178648,88331,90317
0500000US09007,Middlesex,Connecticut,MiddlesexConnecticut,157215,75904,81311
0500000US09003,Hartford,Connecticut,HartfordConnecticut,873964,422337,451627
0500000US09009,New Haven,Connecticut,New HavenConnecticut,829382,398504,430878
0500000US09013,Tolland,Connecticut,TollandConnecticut,135541,66714,68827
0500000US09015,Windham,Connecticut,WindhamConnecticut,111707,54206,57501
0500000US09001,Fairfield,Connecticut,FairfieldConnecticut,926707,450875,475832
0500000US12017,Citrus,Florida,CitrusFlorida,145414,70168,75246
0500000US12097,Osceola,Florida,OsceolaFlorida,365572,177390,188182
0500000US12023,Columbia,Florida,ColumbiaFlorida,65554,30982,34572
0500000US12033,Escambia,Florida,EscambiaFlorida,297104,145351,151753
0500000US12113,Santa Rosa,Florida,Santa RosaFlorida,173122,86686,86436
0500000US12073,Leon,Florida,LeonFlorida,279466,134308,145158
0500000US12103,Pinellas,Florida,PinellasFlorida,960680,459891,500789
0500000US12083,Marion,Florida,MarionFlorida,348888,165839,183049
0500000US12091,Okaloosa,Florida,OkaloosaFlorida,201214,99662,101552
0500000US12117,Seminole,Florida,SeminoleFlorida,463475,223945,239530
0500000US12035,Flagler,Florida,FlaglerFlorida,111079,53043,58036
0500000US12061,Indian River,Florida,Indian RiverFlorida,156228,75835,80393
0500000US12085,Martin,Florida,MartinFlorida,157847,77201,80646
0500000US12005,Bay,Florida,BayFlorida,183220,90826,92394
0500000US12099,Palm Beach,Florida,Palm BeachFlorida,1464632,705344,759288
0500000US12107,Putnam,Florida,PutnamFlorida,73072,35801,37271
0500000US12053,Hernando,Florida,HernandoFlorida,188642,90664,97978
0500000US12101,Pasco,Florida,PascoFlorida,529431,255111,274320
0500000US12115,Sarasota,Florida,SarasotaFlorida,421163,201513,219650
