id,county,state,concatenate,Estimate!!Total!!White alone,Estimate!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone
0500000US06085,Santa Clara,California,Santa ClaraCalifornia,859705,49486,8791,721307,6751,191580
0500000US06099,Stanislaus,California,StanislausCalifornia,434015,16865,5011,28148,4616,37100
0500000US06045,Mendocino,California,MendocinoCalifornia,73040,294,3434,2190,153,4829
0500000US06059,Orange,California,OrangeCalifornia,1922991,59872,13213,666421,10196,378653
0500000US06065,Riverside,California,RiversideCalifornia,1486443,160065,17330,163182,7783,512513
0500000US06067,Sacramento,California,SacramentoCalifornia,874105,152261,11548,248351,18375,120060
0500000US06083,Santa Barbara,California,Santa BarbaraCalifornia,349976,9371,6202,24922,500,35392
0500000US06031,Kings,California,KingsCalifornia,96634,10428,1502,6833,273,30198
0500000US06079,San Luis Obispo,California,San Luis ObispoCalifornia,248227,5123,1731,10265,235,6756
0500000US06039,Madera,California,MaderaCalifornia,91440,5417,1510,3619,132,49419
0500000US06111,Ventura,California,VenturaCalifornia,685974,14696,5106,64523,1632,39930
0500000US06107,Tulare,California,TulareCalifornia,332150,8947,4550,17675,711,84196
0500000US06019,Fresno,California,FresnoCalifornia,643787,45504,15894,103204,1252,139153
0500000US06087,Santa Cruz,California,Santa CruzCalifornia,201567,2874,954,13521,388,41896
0500000US06037,Los Angeles,California,Los AngelesCalifornia,5184112,811476,76089,1492554,28376,2076549
0500000US06061,Placer,California,PlacerCalifornia,322796,6738,2028,30817,667,11993
0500000US06033,Lake,California,LakeCalifornia,47341,1546,3040,622,15,9643
0500000US06075,San Francisco,California,San FranciscoCalifornia,400727,45886,2308,302795,2126,71923
0500000US06071,San Bernardino,California,San BernardinoCalifornia,1320579,178755,19292,157436,6908,383485
0500000US06115,Yuba,California,YubaCalifornia,60004,2132,1513,5721,1025,2385
0500000US06023,Humboldt,California,HumboldtCalifornia,106163,1553,6438,4610,33,7462
0500000US06001,Alameda,California,AlamedaCalifornia,643907,172152,10645,513491,14224,202397
0500000US06097,Sonoma,California,SonomaCalifornia,369293,8049,5039,21637,1176,69166
0500000US06113,Yolo,California,YoloCalifornia,158000,6684,925,31615,1102,6636
0500000US06057,Nevada,California,NevadaCalifornia,91285,534,345,1249,158,2207
0500000US06007,Butte,California,ButteCalifornia,186452,4019,2274,10017,360,12617
0500000US06017,El Dorado,California,El DoradoCalifornia,169150,1221,924,8834,525,2255
0500000US06025,Imperial,California,ImperialCalifornia,117180,4201,1035,2801,204,47971
0500000US06029,Kern,California,KernCalifornia,673595,50289,8106,44299,1656,84783
0500000US06041,Marin,California,MarinCalifornia,206330,6312,275,16431,466,16866
0500000US06101,Sutter,California,SutterCalifornia,66617,2001,888,13831,1399,5094
0500000US06073,San Diego,California,San DiegoCalifornia,2373583,171408,20446,401745,13943,187840
0500000US06047,Merced,California,MercedCalifornia,157100,9118,2300,20204,1094,74161
0500000US06089,Shasta,California,ShastaCalifornia,153562,2080,4384,5654,341,6307
0500000US06013,Contra Costa,California,Contra CostaCalifornia,622301,101253,7347,195848,5718,134475
0500000US06095,Solano,California,SolanoCalifornia,237882,59795,2524,70209,4869,39696
0500000US06077,San Joaquin,California,San JoaquinCalifornia,436288,54996,4560,120792,4351,47132
0500000US06053,Monterey,California,MontereyCalifornia,205303,11753,6540,25748,2232,167885
